Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
67,Tres Barrera,27,WSN,NL,14,35,33,2,6,1,0,0,4,0,0,2,11,0.182,0.229,0.212,0.441,29,7,1,0,0,0,0,2,barretr01
68,Jose Barrero,24,CIN,NL,34,127,121,9,20,2,0,2,9,3,1,6,56,0.165,0.205,0.231,0.436,18,28,3,0,0,0,0,6,garcijo02
69,Joey Bart,25,SFG,NL,81,247,222,27,51,6,0,11,23,2,1,21,90,0.23,0.308,0.405,0.713,99,90,4,4,0,0,0,2/HD,bartjo01
70,Anthony Bass,34,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,bassan01
71,Anthony Bass,34,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/DH,bassan01
72,Matthew Batten,27,SDP,NL,15,22,19,0,2,1,0,0,1,0,0,2,6,0.105,0.227,0.158,0.385,15,3,0,1,0,0,0,/5H4D17,battema01
73,Brett Baty*,22,NYM,NL,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342,0.586,66,13,0,1,0,0,0,5,batybr01
74,Félix Bautista,27,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bautife01
75,Matt Beaty*,29,SDP,NL,20,47,43,6,4,1,1,0,1,0,0,2,8,0.093,0.17,0.163,0.333,-2,7,3,2,0,0,0,9/H3D7,beatyma01
76,Tim Beckham,32,MIN,AL,12,25,25,1,2,0,0,0,1,0,0,0,9,0.08,0.08,0.08,0.16,-53,2,2,0,0,0,0,/H7D3,beckhti01
77,David Bednar*,27,PIT,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bednada01
78,Seth Beer*,25,ARI,NL,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243,0.521,50,27,3,3,0,1,1,D/3H,beerse01
79,Josh Bell#,29,TOT,NL,139,591,506,73,140,29,3,17,68,0,1,71,93,0.277,0.367,0.447,0.814,135,226,19,5,0,6,4,*3D/H,belljo02
80,Josh Bell#,29,WSN,NL,103,437,375,52,113,24,3,14,57,0,1,49,61,0.301,0.384,0.493,0.877,152,185,19,5,0,6,4,*3,belljo02
81,Josh Bell#,29,SDP,NL,36,154,131,21,27,5,0,3,11,0,0,22,32,0.206,0.32,0.313,0.633,85,41,0,0,0,0,0,D3/H,belljo02
82,Andrew Bellatti,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bellaan01
83,Cody Bellinger*,26,LAD,NL,125,490,448,63,90,23,3,17,57,12,2,36,137,0.201,0.261,0.379,0.641,73,170,7,2,0,4,0,*8/H,bellico01
84,Brandon Belt*,34,SFG,NL,78,298,254,25,54,9,1,8,23,1,0,37,81,0.213,0.326,0.35,0.676,91,89,9,6,0,1,2,3DH,beltbr01
85,Anthony Bemboom*,32,BAL,AL,22,59,52,4,6,2,0,1,1,0,0,6,17,0.115,0.207,0.212,0.418,19,11,1,0,1,0,0,2/H,bemboan01
86,Andrew Benintendi*,27,TOT,AL,126,521,461,54,140,23,3,5,51,8,3,52,77,0.304,0.373,0.399,0.772,120,184,7,2,1,5,0,*7/HD,beninan01
87,Andrew Benintendi*,27,KCR,AL,93,390,347,40,111,14,2,3,39,4,2,39,52,0.32,0.387,0.398,0.785,124,138,6,1,0,3,0,7/HD,beninan01
88,Andrew Benintendi*,27,NYY,AL,33,131,114,14,29,9,1,2,12,4,1,13,25,0.254,0.331,0.404,0.734,109,46,1,1,1,2,0,7/H,beninan01
89,Will Benson*,24,CLE,AL,19,46,41,7,6,0,0,0,2,0,0,3,14,0.146,0.239,0.146,0.385,15,6,1,2,0,0,0,/8H97D,bensowi01
90,Wynton Bernard,31,COL,NL,12,42,42,9,12,1,0,0,3,3,1,0,8,0.286,0.286,0.31,0.595,59,13,1,0,0,0,0,8/D7H9,bernawy01
91,Jon Berti,32,MIA,NL,83,323,284,40,73,15,2,3,24,34,4,35,70,0.257,0.344,0.356,0.699,99,101,4,3,0,1,0,457/H68D,bertijo01
92,Christian Bethancourt,30,TOT,AL,87,290,276,36,67,15,0,10,30,5,1,11,67,0.243,0.277,0.406,0.683,97,112,6,2,1,0,0,23HD/15,bethach01
93,Christian Bethancourt,30,OAK,AL,56,182,169,23,42,11,0,4,19,4,1,10,41,0.249,0.298,0.385,0.683,98,65,3,2,1,0,0,32HD/1,bethach01
94,Christian Bethancourt,30,TBR,AL,31,108,107,13,25,4,0,6,11,1,0,1,26,0.234,0.241,0.439,0.68,95,47,3,0,0,0,0,2/31H5,bethach01
95,Mookie Betts,29,LAD,NL,123,564,502,110,138,34,3,34,77,12,1,51,89,0.275,0.348,0.558,0.905,143,280,8,7,0,4,0,*9/4H,bettsmo01
96,Bo Bichette,24,TOR,AL,140,615,575,83,162,39,1,24,87,9,8,36,143,0.282,0.325,0.478,0.803,126,275,16,2,0,2,0,*6/DH,bichebo01
97,Phil Bickford,26,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bickfph01
98,Cavan Biggio*,27,TOR,AL,83,260,218,37,47,18,1,6,23,2,0,36,67,0.216,0.336,0.39,0.726,107,85,2,4,1,1,0,43H/9D7,biggica01
99,Charlie Blackmon*,35,COL,NL,124,533,489,57,127,20,4,16,74,3,1,29,97,0.26,0.31,0.415,0.725,92,203,9,8,4,3,3,D9/H,blackch02
100,Dairon Blanco,29,KCR,AL,5,7,7,1,2,0,0,0,2,1,0,0,4,0.286,0.286,0.286,0.571,63,2,0,0,0,0,0,/8HD,blancda02
101,Travis Blankenhorn*,25,NYM,NL,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/D,blanktr01
102,JJ Bleday*,24,MIA,NL,47,172,147,13,26,9,1,4,7,3,1,23,47,0.177,0.297,0.333,0.63,78,49,2,2,0,0,0,87/H9,bledajj01
103,Richard Bleier*,35,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bleieri01
104,Xander Bogaerts,29,BOS,AL,134,566,500,81,159,37,0,14,67,8,1,50,108,0.318,0.385,0.476,0.861,138,238,13,9,0,7,2,*6/DH,bogaexa01
105,Alec Bohm,25,PHI,NL,131,542,505,73,148,22,3,11,66,1,3,25,99,0.293,0.325,0.414,0.739,106,209,16,3,0,9,1,*5/D3H,bohmal01
106,Ronald Bolanos,25,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,bolanro01
107,Skye Bolt#,28,OAK,AL,42,116,106,10,21,2,0,4,13,5,0,7,30,0.198,0.259,0.33,0.589,71,35,1,2,0,1,0,8/H97,boltsk01
108,David Bote,29,CHC,NL,28,76,71,10,17,3,0,2,4,1,0,3,34,0.239,0.289,0.366,0.656,82,26,2,2,0,0,0,4/53HD,boteda01
109,Sean Bouchard,26,COL,NL,12,39,30,3,6,0,0,1,4,0,0,8,10,0.2,0.359,0.3,0.659,79,9,1,0,0,1,0,7/H,bouchse01
110,Bobby Bradley*,26,CLE,AL,8,17,17,1,2,0,0,0,0,0,0,0,9,0.118,0.118,0.118,0.235,-32,2,0,0,0,0,0,/3H,bradlbo01
111,Jackie Bradley Jr.*,32,TOT,AL,118,343,320,27,66,23,1,3,35,2,3,21,70,0.206,0.255,0.313,0.568,58,100,4,0,2,0,0,*98/H1,bradlja02
112,Jackie Bradley Jr.*,32,BOS,AL,91,290,271,21,57,19,1,3,29,2,3,17,58,0.21,0.257,0.321,0.578,60,87,3,0,2,0,0,98/H1,bradlja02
113,Jackie Bradley Jr.*,32,TOR,AL,27,53,49,6,9,4,0,0,6,0,0,4,12,0.184,0.245,0.265,0.511,46,13,1,0,0,0,0,9-Aug,bradlja02
114,Michael Brantley*,35,HOU,AL,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,125,101,1,1,1,1,2,D7,brantmi02
115,Rob Brantly*,32,NYY,AL,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1,177,2,0,0,0,0,0,/2,brantro01
116,Matt Brash,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,brashma01
117,Alex Bregman,28,HOU,AL,136,579,482,86,129,35,0,21,84,1,2,81,72,0.268,0.377,0.471,0.847,141,227,17,8,0,8,1,*5/H,bregmal01
118,Jonah Bride,26,OAK,AL,45,160,139,13,32,4,0,1,6,1,0,15,26,0.23,0.321,0.281,0.601,78,39,4,4,1,1,0,45/3HD,bridejo01
119,Lewis Brinson,28,SFG,NL,11,30,27,4,5,1,0,3,4,1,0,2,10,0.185,0.241,0.556,0.797,115,15,0,0,1,0,0,8/H,brinsle01
120,Mike Brosseau,28,MIL,NL,60,143,126,13,33,4,0,5,19,2,0,14,41,0.262,0.35,0.413,0.762,116,52,0,3,0,0,0,5H/613D,brossmi01
121,Seth Brown*,29,OAK,AL,130,474,434,46,101,24,2,21,56,8,1,36,123,0.233,0.295,0.442,0.738,112,192,7,3,0,1,2,397H/8D,brownse01
122,Justin Bruihl*,25,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bruihju01
123,Vidal Brujan#,24,TBR,AL,49,154,139,12,23,5,0,2,15,5,5,12,36,0.165,0.234,0.245,0.478,42,34,2,1,0,2,0,49/H658D7,brujavi01
124,Kris Bryant,30,COL,NL,42,181,160,28,49,12,0,5,14,0,0,17,27,0.306,0.376,0.475,0.851,126,76,7,2,0,2,0,7D,bryankr01
125,Aaron Bummer*,28,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,bummeaa01
126,Peyton Burdick,25,MIA,NL,26,92,82,5,14,4,0,2,4,1,0,8,33,0.171,0.261,0.293,0.554,56,24,1,2,0,0,0,87/9,burdipe01
127,Jake Burger,26,CHW,AL,51,183,168,20,42,9,1,8,26,0,0,10,56,0.25,0.302,0.458,0.761,112,77,7,3,1,1,1,5/DH4,burgeja01
128,Alec Burleson*,23,STL,NL,3,10,9,1,1,0,0,0,0,0,0,1,0,0.111,0.2,0.111,0.311,-7,1,0,0,0,0,0,/D9,burleal01
129,Byron Buxton,28,MIN,AL,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,136,179,0,7,0,1,0,8D/H,buxtoby01
130,Miguel Cabrera,39,DET,AL,102,393,360,23,92,10,0,4,37,1,0,25,94,0.256,0.305,0.317,0.622,82,114,9,3,0,5,3,*D/H,cabremi01
131,Oswaldo Cabrera#,23,NYY,AL,24,92,86,6,17,3,1,1,8,0,2,5,24,0.198,0.239,0.291,0.53,51,25,1,0,0,1,0,9/65H4,cabreos01
132,Lorenzo Cain,36,MIL,NL,43,156,145,17,26,5,0,1,9,2,2,8,36,0.179,0.231,0.234,0.465,33,34,4,2,0,1,0,8/H,cainlo01
133,Kole Calhoun*,34,TEX,AL,111,398,365,36,75,14,1,12,47,2,2,24,125,0.205,0.264,0.348,0.612,74,127,6,6,0,3,0,*97HD/8,calhoko01
134,Willie Calhoun*,27,TOT,MLB,20,58,49,7,7,3,0,1,3,0,0,8,7,0.143,0.276,0.265,0.541,57,13,2,1,0,0,0,D/7H,calhowi01
135,Willie Calhoun*,27,TEX,AL,18,53,44,7,6,3,0,1,2,0,0,8,6,0.136,0.283,0.273,0.556,61,12,1,1,0,0,0,D/7H,calhowi01
136,Willie Calhoun*,27,SFG,NL,2,5,5,0,1,0,0,0,1,0,0,0,1,0.2,0.2,0.2,0.4,13,1,1,0,0,0,0,/D,calhowi01
137,Alex Call,27,TOT,MLB,31,72,64,11,15,1,1,3,9,1,1,8,14,0.234,0.319,0.422,0.741,113,27,1,0,0,0,0,7H/9D8,callal02
138,Alex Call,27,CLE,AL,12,16,12,2,2,0,0,0,0,0,0,4,4,0.167,0.375,0.167,0.542,65,2,0,0,0,0,0,/9H87,callal02
139,Alex Call,27,WSN,NL,19,56,52,9,13,1,1,3,9,1,1,4,10,0.25,0.304,0.481,0.784,123,25,1,0,0,0,0,7/HD,callal02
140,Johan Camargo#,28,PHI,NL,52,166,152,8,36,3,0,3,15,0,0,13,37,0.237,0.297,0.316,0.613,73,48,1,0,1,0,0,65H/43D,camarjo01
141,Daz Cameron,25,DET,AL,21,70,64,6,14,3,1,1,8,2,0,5,20,0.219,0.286,0.344,0.629,83,22,1,1,0,0,0,9/8H,camerda01
142,Luis Campusano,23,SDP,NL,9,27,25,2,5,1,0,0,3,0,0,1,5,0.2,0.222,0.24,0.462,34,6,2,0,0,1,0,/2DH,campulu01
143,Jeimer Candelario#,28,DET,AL,111,417,384,45,78,15,2,13,45,0,1,26,99,0.203,0.264,0.354,0.618,78,136,8,6,0,1,1,*5/DH,candeje01
144,Mark Canha,33,NYM,NL,122,466,400,63,108,22,0,12,56,2,1,45,80,0.27,0.369,0.415,0.784,124,166,3,19,0,2,1,*7H/89D35,canhama01
145,Robinson Canó*,39,TOT,NL,33,104,100,5,15,1,0,1,4,0,0,4,25,0.15,0.183,0.19,0.373,7,19,2,0,0,0,0,4/DH,canoro01
146,Robinson Canó*,39,NYM,NL,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268,0.501,43,11,0,0,0,0,0,/4DH,canoro01
147,Robinson Canó*,39,SDP,NL,12,34,33,1,3,0,0,0,1,0,0,1,10,0.091,0.118,0.091,0.209,-38,3,0,0,0,0,0,/4HD,canoro01
148,Robinson Canó*,39,ATL,NL,9,27,26,1,4,1,0,0,0,0,0,1,4,0.154,0.185,0.192,0.377,5,5,2,0,0,0,0,/4H,canoro01
149,Conner Capel*,25,STL,NL,9,19,17,1,3,0,0,1,2,0,0,1,2,0.176,0.211,0.353,0.563,58,6,0,0,0,1,0,/9D7H,capelco01
150,Vinny Capra,25,TOR,AL,8,7,5,2,1,0,0,0,0,0,0,2,1,0.2,0.429,0.2,0.629,89,1,0,0,0,0,0,/HD479,capravi01
151,Victor Caratini#,28,MIL,NL,83,275,238,24,48,9,0,9,30,0,0,27,59,0.202,0.305,0.353,0.658,86,84,10,9,0,1,1,2H/3D1,caratvi01
152,Dylan Carlson#,23,STL,NL,112,431,383,48,92,24,4,8,39,5,1,38,83,0.24,0.316,0.386,0.702,101,148,6,6,0,4,0,*89H/D,carlsdy01
153,Kerry Carpenter*,24,DET,AL,22,81,73,12,19,4,1,4,7,0,0,5,22,0.26,0.321,0.507,0.828,136,37,0,2,0,1,0,7D/H9,carpeke01
154,Matt Carpenter*,36,NYY,AL,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,217,93,2,5,1,1,1,DH9/375,carpema01
155,Corbin Carroll*,21,ARI,NL,11,44,40,7,11,3,0,2,8,0,1,4,13,0.275,0.341,0.5,0.841,135,20,1,0,0,0,0,/79DH,carroco02
156,Curt Casali,33,TOT,MLB,48,149,128,16,27,4,0,4,16,0,0,18,46,0.211,0.309,0.336,0.645,83,43,1,1,0,2,0,2/3D,casalcu01
157,Curt Casali,33,SFG,NL,41,126,108,13,25,3,0,4,14,0,0,15,36,0.231,0.325,0.37,0.696,96,40,1,1,0,2,0,2/3D,casalcu01
158,Curt Casali,33,SEA,AL,7,23,20,3,2,1,0,0,2,0,0,3,10,0.1,0.217,0.15,0.367,11,3,0,0,0,0,0,/2,casalcu01
159,Triston Casas*,22,BOS,AL,8,28,24,3,3,0,0,2,4,1,0,4,8,0.125,0.25,0.375,0.625,71,9,1,0,0,0,0,/3H,casastr01
160,Nick Castellanos,30,PHI,NL,128,531,499,53,132,27,0,13,61,7,1,27,124,0.265,0.305,0.397,0.702,96,198,15,3,0,2,0,*9D/7H,casteni01
161,Diego Castillo,28,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,castidi01
162,Diego Castillo,24,PIT,NL,85,260,241,25,49,10,0,11,27,1,1,14,70,0.203,0.25,0.382,0.632,74,92,6,2,0,3,1,649H/531D,castidi02
163,Harold Castro*,28,DET,AL,106,392,370,35,100,19,2,6,41,0,1,16,70,0.27,0.301,0.381,0.682,97,141,5,1,3,2,1,356/4DH178,castrha01
164,Jason Castro*,35,HOU,AL,34,88,78,6,9,2,0,1,3,1,0,8,40,0.115,0.205,0.179,0.384,12,14,1,1,0,1,0,2/H,castrja01
165,Rodolfo Castro#,23,PIT,NL,52,201,184,16,43,6,3,8,16,4,3,15,55,0.234,0.299,0.429,0.728,102,79,5,2,0,0,0,465/DH,castrro01
166,Willi Castro#,25,DET,AL,101,367,342,43,83,17,2,6,28,7,4,14,73,0.243,0.286,0.357,0.643,86,122,4,8,0,3,0,97846H/5D,castrwi01
167,Jake Cave*,29,MIN,AL,32,96,88,9,17,3,2,3,11,1,0,7,28,0.193,0.25,0.375,0.625,78,33,1,0,0,1,0,7/9H8,caveja01
168,Gilberto Celestino,23,MIN,AL,102,281,254,26,62,9,1,2,19,2,1,23,65,0.244,0.312,0.311,0.623,82,79,11,2,2,0,0,*87H/9,celesgi01
169,Yu Chang,26,TOT,MLB,58,164,148,16,32,4,0,4,14,0,1,11,52,0.216,0.28,0.324,0.605,75,48,4,3,0,2,0,4/635HD1,changyu01
170,Yu Chang,26,TOT,AL,40,115,106,11,25,3,0,3,12,0,0,7,34,0.236,0.278,0.349,0.627,84,37,3,0,0,2,0,4/6531H,changyu01
171,Yu Chang,26,CLE,AL,4,10,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,-100,0,0,0,0,0,0,/345H,changyu01
172,Yu Chang,26,PIT,NL,18,49,42,5,7,1,0,1,2,0,1,4,18,0.167,0.286,0.262,0.548,56,11,1,3,0,0,0,4/3HD,changyu01
173,Yu Chang,26,TBR,AL,36,105,96,11,25,3,0,3,12,0,0,7,27,0.26,0.305,0.385,0.69,102,37,3,0,0,2,0,Apr-13,changyu01
174,Matt Chapman,29,TOR,AL,136,543,475,73,112,26,1,24,68,2,2,56,151,0.236,0.324,0.446,0.77,118,212,6,8,0,4,1,*5/HD,chapmma01
175,Michael Chavis,26,PIT,NL,120,395,372,37,88,15,3,14,45,1,1,17,116,0.237,0.271,0.406,0.677,87,151,3,2,0,4,1,*3H4/5D,chavimi01
176,Robinson Chirinos,38,BAL,AL,61,201,177,9,32,9,0,3,20,1,0,18,61,0.181,0.27,0.282,0.552,57,50,3,4,1,1,0,2/H,chiriro01
177,Jazz Chisholm Jr.*,24,MIA,NL,60,241,213,39,54,10,4,14,45,12,5,21,66,0.254,0.325,0.535,0.86,138,114,0,3,0,3,0,4/H,chishja01
178,Ji-Man Choi*,31,TBR,AL,100,375,318,31,74,18,0,10,50,0,0,52,110,0.233,0.341,0.384,0.725,114,122,3,2,0,3,3,3H/D,choiji01
179,Taylor Clarke,29,KCR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,clarkta01
180,Kody Clemens*,26,DET,AL,48,114,104,11,16,4,0,4,13,1,0,8,29,0.154,0.211,0.308,0.518,49,32,1,0,0,2,0,53H/741D,clemeko01
181,Ernie Clement,26,CLE,AL,60,158,143,16,29,3,0,0,6,0,1,11,24,0.203,0.268,0.224,0.491,44,32,3,2,1,1,0,5H47/D31,clemeer01
182,Dylan Coleman,25,KCR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,colemdy01
183,Zack Collins*,27,TOT,MLB,27,82,75,7,14,4,0,4,10,0,0,6,32,0.187,0.256,0.4,0.656,84,30,0,1,0,0,0,D2/H3,colliza01
184,Zack Collins*,27,PIT,NL,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/3,colliza01
185,Zack Collins*,27,TOR,AL,26,79,72,7,14,4,0,4,10,0,0,6,31,0.194,0.266,0.417,0.682,92,30,0,1,0,0,0,D2/H3,colliza01
186,Alex Colome,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,colomal01
187,Mark Contreras*,27,MIN,AL,12,26,25,5,3,0,0,2,4,0,0,0,9,0.12,0.115,0.36,0.475,30,9,2,0,0,1,0,/897H,contrma01
188,William Contreras,24,ATL,NL,78,304,272,41,73,12,1,17,38,2,0,31,82,0.268,0.342,0.507,0.849,132,138,5,0,0,1,1,2D/H7,contrwi02
189,Willson Contreras,30,CHC,NL,107,462,395,63,97,22,2,21,54,4,2,42,98,0.246,0.351,0.471,0.822,128,186,13,23,0,2,0,2D/H,contrwi01
190,Garrett Cooper,31,MIA,NL,111,437,386,33,99,29,2,8,48,0,0,37,110,0.256,0.332,0.404,0.736,107,156,6,9,0,5,0,3D/H,coopega03
191,Franchy Cordero*,27,BOS,AL,84,275,242,36,53,17,1,8,29,4,1,28,92,0.219,0.3,0.397,0.697,92,96,1,1,2,2,1,397H/D8,cordefr02
192,Carlos Correa,27,MIN,AL,116,502,443,62,124,19,1,20,57,0,0,53,103,0.28,0.357,0.463,0.819,136,205,15,2,0,4,2,*6/HD,correca01
193,Brandon Crawford*,35,SFG,NL,102,391,349,41,79,13,2,8,45,1,1,32,87,0.226,0.304,0.344,0.648,82,120,10,8,0,2,3,*6/H,crawfbr01
194,J.P. Crawford*,27,SEA,AL,127,529,464,53,116,23,2,6,38,3,2,52,68,0.25,0.33,0.347,0.677,100,161,9,6,2,5,0,*6,crawfjp01
195,C.J. Cron,32,COL,NL,135,572,522,74,138,26,3,28,96,0,0,38,149,0.264,0.32,0.487,0.807,112,254,14,7,0,4,6,*3D/H,croncj01
196,Jake Cronenworth*,28,SDP,NL,139,605,518,82,126,26,3,16,73,2,0,62,115,0.243,0.339,0.398,0.737,113,206,1,16,0,6,3,*43/6HD,croneja01
197,Narciso Crook,26,CHC,NL,4,9,8,1,2,1,0,0,2,0,0,0,3,0.25,0.222,0.375,0.597,63,3,1,0,0,1,0,/H98,crookna01
198,Nelson Cruz,41,WSN,NL,124,507,448,50,105,16,0,10,64,4,0,49,119,0.234,0.313,0.337,0.651,89,151,16,4,0,3,1,*D/H,cruzne02
199,Oneil Cruz*,23,PIT,NL,69,278,259,31,58,9,4,14,44,7,4,18,102,0.224,0.273,0.452,0.725,99,117,2,0,0,1,1,6/DH7,cruzon01
200,Charlie Culberson,33,TEX,AL,65,118,109,18,28,6,0,1,11,2,3,5,29,0.257,0.289,0.339,0.629,80,37,5,0,4,0,0,5H47D/136,culbech01
201,Travis d'Arnaud,33,ATL,NL,93,369,342,55,92,20,1,17,54,0,0,17,77,0.269,0.322,0.482,0.805,120,165,10,10,0,0,0,2/DH,darnatr01
202,Bobby Dalbec,27,BOS,AL,111,340,304,38,64,9,2,11,36,3,0,29,113,0.211,0.282,0.362,0.644,78,110,5,3,0,4,0,35H/4D6,dalbebo01
203,Matt Davidson,31,TOT,MLB,13,37,34,3,5,0,0,2,3,0,1,3,13,0.147,0.216,0.324,0.54,54,11,0,0,0,0,0,/5DH3,davidma02
204,Matt Davidson,31,ARI,NL,5,13,10,1,1,0,0,1,1,0,0,3,3,0.1,0.308,0.4,0.708,99,4,0,0,0,0,0,/5DH,davidma02
205,Matt Davidson,31,OAK,AL,8,24,24,2,4,0,0,1,2,0,1,0,10,0.167,0.167,0.292,0.458,31,7,0,0,0,0,0,/53DH,davidma02
206,J.D. Davis,29,TOT,NL,98,302,262,39,62,11,1,9,28,1,1,32,101,0.237,0.331,0.389,0.72,105,102,10,6,0,2,1,D5H/37,davisjd01
207,J.D. Davis,29,NYM,NL,66,207,181,26,43,8,1,4,21,1,1,20,66,0.238,0.324,0.359,0.683,96,65,9,4,0,2,0,DH5/3,davisjd01
208,J.D. Davis,29,SFG,NL,32,95,81,13,19,3,0,5,7,0,0,12,35,0.235,0.347,0.457,0.804,124,37,1,2,0,0,1,5HD/37,davisjd01
209,Jaylin Davis,27,BOS,AL,12,27,24,4,8,1,0,0,2,0,0,3,11,0.333,0.407,0.375,0.782,120,9,0,0,0,0,0,/H897,davisja03
210,Jonathan Davis,30,MIL,NL,37,91,76,9,17,1,0,0,4,7,1,14,26,0.224,0.344,0.237,0.581,70,18,1,0,1,0,0,8/H,davisjo05
211,Ronnie Dawson*,27,CIN,NL,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0,/D,dawsoro01
212,Yonathan Daza,28,COL,NL,96,333,304,48,94,17,1,2,29,0,3,21,44,0.309,0.357,0.391,0.749,100,119,11,4,0,4,0,*87/H,dazayo01
213,Bryan De La Cruz,25,MIA,NL,96,276,256,27,54,11,0,8,22,3,0,17,73,0.211,0.261,0.348,0.609,70,89,5,1,0,2,0,978H/D,delacbr01
214,Enyel De Los Santos,26,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,delosen01
215,Austin Dean,28,SFG,NL,3,9,8,1,3,0,0,0,0,0,0,1,0,0.375,0.444,0.375,0.819,134,3,0,0,0,0,0,/7H9,deanau01
216,Paul DeJong,28,STL,NL,60,197,172,17,27,8,0,6,24,3,2,19,62,0.157,0.254,0.308,0.562,61,53,2,4,0,2,0,6/HD,dejonpa01
217,Jason Delay,27,PIT,NL,44,131,122,13,27,3,0,1,7,0,2,7,41,0.221,0.275,0.27,0.545,55,33,2,2,0,0,0,2,delayja01
218,Ben DeLuzio,27,STL,NL,7,4,3,2,1,0,0,0,0,0,1,1,1,0.333,0.5,0.333,0.833,147,1,0,0,0,0,0,/8H,deluzbe01
219,Travis Demeritte,27,ATL,NL,26,96,89,9,19,2,0,3,6,0,0,6,32,0.213,0.26,0.337,0.597,65,30,2,0,0,1,0,9/7H,demertr01
220,Rafael Devers*,25,BOS,AL,123,538,490,76,141,37,1,26,78,3,1,40,100,0.288,0.348,0.527,0.874,139,258,11,6,0,2,10,*5/DH,deverra01
221,Aledmys Díaz,31,HOU,AL,79,278,258,31,66,12,0,10,32,1,1,17,46,0.256,0.306,0.419,0.724,105,108,7,2,0,1,0,746H/53D9,diazal02
222,Edwin Díaz,28,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,diazed04
223,Elias Diaz,31,COL,NL,91,330,303,25,71,17,2,9,47,0,1,23,66,0.234,0.291,0.393,0.684,81,119,8,2,0,2,0,2/H,diazel01
224,Lewin Diaz*,25,MIA,NL,39,122,110,8,17,4,0,2,7,1,0,9,36,0.155,0.221,0.245,0.467,32,27,2,1,0,2,0,3/DH,diazle01
225,Yainer Diaz,23,HOU,AL,2,4,3,0,0,0,0,0,1,0,0,1,0,0,0.25,0,0.25,-19,0,0,0,0,0,0,/2D,diazya02
226,Yandy Díaz,30,TBR,AL,128,526,444,67,131,32,0,8,51,3,3,75,52,0.295,0.403,0.421,0.824,144,187,10,6,0,1,2,*53D/H,diazya01
227,Yusniel Diaz,25,BAL,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/H9,diazyu01
228,Alex Dickerson*,32,ATL,NL,13,36,33,3,4,0,0,1,2,0,0,3,9,0.121,0.194,0.212,0.407,13,7,3,0,0,0,0,D/H9,dickeal01
229,Corey Dickerson*,33,STL,NL,78,239,226,26,66,16,1,5,30,0,0,10,38,0.292,0.322,0.438,0.76,116,99,2,1,0,2,1,7DH9,dickeco01
230,Wilmer Difo#,30,ARI,NL,3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,/64,difowi01
